percentages,particles,sim_times,pred_times,mean_distances
10,100,2.0218262672424316,3.019200563430786,0.07623885571956635
10,200,3.8235881328582764,5.291639089584351,0.1875723898410797
10,300,6.663490295410156,8.397956609725952,0.22715018689632416
10,400,14.352859258651733,8.65677547454834,0.11238789558410645
10,500,19.828421115875244,11.33846402168274,0.10700108110904694
10,600,25.9170343875885,20.7407386302948,0.14556315541267395
10,700,33.519572496414185,25.983760356903076,0.09914104640483856
10,800,42.200188636779785,32.5855770111084,0.22412987053394318
10,900,51.99852657318115,37.58268880844116,0.15975190699100494
10,1000,63.82159948348999,45.73022961616516,0.19461065530776978
20,100,2.0218262672424316,3.6048684120178223,0.1638721078634262
20,200,3.8235881328582764,5.975652694702148,0.3658296465873718
20,300,6.663490295410156,6.4509265422821045,0.3573555052280426
20,400,14.352859258651733,8.124303579330444,0.2704271972179413
20,500,19.828421115875244,11.758457660675049,0.21754103899002075
20,600,25.9170343875885,21.53074359893799,0.24527105689048767
20,700,33.519572496414185,25.654916763305664,0.23841002583503723
20,800,42.200188636779785,31.04871439933777,0.4218938946723938
20,900,51.99852657318115,36.84500193595886,0.33091795444488525
20,1000,63.82159948348999,45.71581482887268,0.29687657952308655
30,100,2.0218262672424316,3.5072312355041504,0.2886226177215576
30,200,3.8235881328582764,5.955522298812866,0.668673038482666
30,300,6.663490295410156,8.934317350387573,0.5044375658035278
30,400,14.352859258651733,11.695471286773682,0.454539030790329
30,500,19.828421115875244,10.363178253173828,0.3555911183357239
30,600,25.9170343875885,19.453311681747437,0.4620315730571747
30,700,33.519572496414185,28.831871271133423,0.3355354964733124
30,800,42.200188636779785,28.008819818496704,0.616664707660675
30,900,51.99852657318115,35.303099393844604,0.5907992124557495
30,1000,63.82159948348999,38.59284162521362,0.5846945643424988
40,100,2.0218262672424316,4.387545108795166,0.5536070466041565
40,200,3.8235881328582764,5.994494199752808,0.7741827368736267
40,300,6.663490295410156,7.406697750091553,0.7286983728408813
40,400,14.352859258651733,8.258597612380981,0.5373015999794006
40,500,19.828421115875244,10.965151071548462,0.4472167193889618
40,600,25.9170343875885,17.445321083068848,0.48949334025382996
40,700,33.519572496414185,21.65046191215515,0.47576573491096497
40,800,42.200188636779785,25.824154376983643,0.877409040927887
40,900,51.99852657318115,33.1393187046051,0.7709137201309204
40,1000,63.82159948348999,35.557960510253906,0.7842748761177063
50,100,2.0218262672424316,4.298324823379517,0.595360279083252
50,200,3.8235881328582764,6.145407199859619,1.0810316801071167
50,300,6.663490295410156,6.328810214996338,0.8058735132217407
50,400,14.352859258651733,7.8954689502716064,0.7701057195663452
50,500,19.828421115875244,10.034646987915039,0.9716416001319885
50,600,25.9170343875885,16.07784128189087,0.650076687335968
50,700,33.519572496414185,19.845317602157593,0.7189111709594727
50,800,42.200188636779785,23.713833808898926,1.0593726634979248
50,900,51.99852657318115,28.34788465499878,1.2533329725265503
50,1000,63.82159948348999,35.046562910079956,1.2549726963043213
60,100,2.0218262672424316,4.5865936279296875,0.7941504120826721
60,200,3.8235881328582764,5.9715869426727295,1.0754402875900269
60,300,6.663490295410156,6.550309896469116,1.0933454036712646
60,400,14.352859258651733,7.687194108963013,0.9732072949409485
60,500,19.828421115875244,9.905915260314941,0.7691105604171753
60,600,25.9170343875885,14.645467519760132,1.1119288206100464
60,700,33.519572496414185,18.25929546356201,0.9057652354240417
60,800,42.200188636779785,21.603835821151733,1.341487169265747
60,900,51.99852657318115,25.79719376564026,1.2467695474624634
60,1000,63.82159948348999,30.24020481109619,1.2524064779281616
70,100,2.0218262672424316,4.860451936721802,0.9156768321990967
70,200,3.8235881328582764,6.304046869277954,1.1830084323883057
70,300,6.663490295410156,6.662891387939453,1.1126949787139893
70,400,14.352859258651733,7.638200283050537,1.3015931844711304
70,500,19.828421115875244,9.471375942230225,0.8788496851921082
70,600,25.9170343875885,12.975564956665039,1.2675985097885132
70,700,33.519572496414185,15.696718454360962,1.1722824573516846
70,800,42.200188636779785,18.382328748703003,1.4265867471694946
70,900,51.99852657318115,22.094897985458374,1.7875738143920898
70,1000,63.82159948348999,24.86623501777649,1.645128607749939
80,100,2.0218262672424316,5.784027099609375,1.158681035041809
80,200,3.8235881328582764,6.893824100494385,1.170881748199463
80,300,6.663490295410156,7.143995046615601,1.116864800453186
80,400,14.352859258651733,7.662087678909302,1.6018342971801758
80,500,19.828421115875244,8.9165358543396,1.7090057134628296
80,600,25.9170343875885,11.18333101272583,1.7894783020019531
80,700,33.519572496414185,13.36031174659729,1.8631237745285034
80,800,42.200188636779785,15.839873313903809,2.1015610694885254
80,900,51.99852657318115,19.006783485412598,2.7131271362304688
80,1000,63.82159948348999,20.498233556747437,2.2058985233306885
90,100,2.0218262672424316,5.528554916381836,1.178410530090332
90,200,3.8235881328582764,6.7443296909332275,2.2176802158355713
90,300,6.663490295410156,7.3196001052856445,1.9214369058609009
90,400,14.352859258651733,7.440113067626953,2.113060712814331
90,500,19.828421115875244,8.133068323135376,2.5077402591705322
90,600,25.9170343875885,9.971107721328735,1.839357852935791
90,700,33.519572496414185,10.700394630432129,3.396815538406372
90,800,42.200188636779785,13.119977235794067,2.2462289333343506
90,900,51.99852657318115,14.877356052398682,4.859417915344238
90,1000,63.82159948348999,17.650943279266357,2.982717275619507
100,100,2.0218262672424316,5.379234313964844,1.3665151596069336
100,200,3.8235881328582764,6.328339576721191,1.303048014640808
100,300,6.663490295410156,6.820035457611084,3.1702003479003906
100,400,14.352859258651733,7.033443927764893,2.7751851081848145
100,500,19.828421115875244,7.836950302124023,2.4576594829559326
100,600,25.9170343875885,8.711317539215088,4.409481525421143
100,700,33.519572496414185,9.257015705108643,3.25437068939209
100,800,42.200188636779785,9.755337953567505,5.78593635559082
100,900,51.99852657318115,10.642161130905151,8.850011825561523
100,1000,63.82159948348999,11.852402925491333,5.649095058441162
